objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
Just Desserts: Better With Bacon,218404,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78872231,5.54894,6.51103,1,0,412,thing,Just Desserts: Better With Bacon,2,5,0,0,0,2017,,,6+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Just Desserts: Just Coffee,235811,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78872235,5.53107,6.30585,1.5,0,348,thing,Just Desserts: Just Coffee,2,5,30,30,20,2017,,,6+,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Just One,254640,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96221533,7.43334,7.60106,1.039,144,45624,thing,Just One,3,7,60,60,20,2018,,,8+,Unplayable in another language,,,,,,standalone,,,,,
K2,73761,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307134,6.73849,7.01223,2.25,791,11275,thing,K2,1,5,60,60,60,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Kabaleo,94891,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308049,5.45205,5.2821,1.3529,25655,410,thing,Kabaleo,2,4,15,15,15,2011,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Kahuna,394,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307333,6.3991,6.61314,2.0502,1430,14040,thing,Kahuna,2,2,40,40,30,1998,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Kalah,2448,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307340,5.82547,5.97692,1.5996,4106,15042,thing,Kalah,2,2,10,10,10,700,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Kami,280107,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76993400,5.56967,6.19031,1.6923,10145,291,thing,Kami,2,4,20,20,20,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Keyflower,122515,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307124,7.52679,7.72758,3.3386,101,26415,thing,Keyflower,2,6,120,120,90,2012,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Khronos,25674,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308307,5.86882,6.29413,3.5616,3745,2618,thing,Khronos,2,5,90,90,90,2006,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Kinapa,362482,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103002359,5.48773,5.4825,1,23849,24,thing,Kinapa,2,8,15,15,5,2022,,,5+,,,,,,,standalone,,,,,
King of the Pitch,329641,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,84215028,5.44402,4.77593,1.3333,25772,8,thing,King of the Pitch,2,5,45,45,30,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
King of Tokyo,70323,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,85363590,7.0332,7.13428,1.4868,422,102352,thing,King of Tokyo,2,6,30,30,30,2011,,,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
King of Tokyo: Power Up!,127067,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,95375003,7.24001,7.59461,1.7135,0,31905,thing,King of Tokyo: Power Up!,2,6,30,30,30,2012,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,
The King's Guild,206327,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307056,6.11667,7.05201,2.3415,2355,1277,thing,The King's Guild,1,6,120,120,60,2018,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Kingdom Builder,107529,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74694139,6.79791,6.9419,2.0619,693,29349,thing,Kingdom Builder,2,4,45,45,45,2011,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Kingdomino,204583,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306784,7.19281,7.30971,1.2222,288,79940,thing,Kingdomino,2,4,25,25,15,2016,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Klaverjassen,26468,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77777603,5.59639,6.97107,2.8889,8550,146,thing,Klaverjassen,2,4,75,75,75,1890,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Koi-Koi,11865,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307143,5.71537,6.53088,1.7727,5431,628,thing,Koi-Koi,2,4,30,30,15,0,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Konane,8122,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96004579,5.50671,5.63716,2,20361,205,thing,Konane,2,2,20,20,20,1775,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Koninkrijk,272821,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97277719,5.47684,4.53778,2,24815,6,thing,Koninkrijk,3,5,50,50,20,2016,,,Up to 8,,,,,,,standalone,,,,,
Koryŏ,140535,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307477,6.00955,6.59982,1.871,2821,2832,thing,Koryŏ,2,4,20,20,10,2013,,,10+,No necessary in-game text,,,,,,standalone,,,,,
KQJ,224381,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308337,0,4.95238,0,0,16,thing,KQJ,3,6,0,0,0,2013,,,,,,,,,,standalone,,,,,
Kraken Up,335090,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,92367121,5.46375,4.40971,1,25371,14,thing,Kraken Up,2,4,15,15,15,2021,,,,,,,,,,standalone,,,,,
Krosmaster Arena 2.0,203719,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307302,5.73203,7.1717,2.8333,5174,1464,thing,Krosmaster Arena 2.0,2,4,60,60,45,2016,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Krosmaster: Blast,256940,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696597,5.53899,7.10806,2,13215,245,thing,Krosmaster: Blast,2,4,30,30,30,2020,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Kulami,108831,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472135,5.88936,7.02349,1.6818,3590,1280,thing,Kulami,2,2,30,30,30,2011,,,8+,No necessary in-game text,,,,,,standalone,,,,,
L.L.A.M.A.,266083,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83884201,6.26186,6.49048,1.0526,1797,14089,thing,L.L.A.M.A.,2,6,20,20,20,2019,,,6+,No necessary in-game text,,,,,,standalone,,,,,
The Lady and the Tiger,222643,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472703,5.70789,6.30042,1.6667,5550,2379,thing,The Lady and the Tiger,1,6,20,20,15,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Lady's Choice,347086,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86629418,5.46811,4.65891,1.3333,25226,26,thing,Lady's Choice,2,6,30,30,10,2022,,,12+,,,,,,,standalone,,,,,
Las Vegan,347702,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88233180,5.50905,5.65157,1.2857,19753,167,thing,Las Vegan,2,5,30,30,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Legend Raiders,265118,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104389285,5.54645,6.11124,2,12216,127,thing,Legend Raiders,2,4,45,45,30,2022,,,,,,,,,,standalone,,,,,
Legendary Inventors,200785,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307213,5.84538,6.3241,2.0227,3932,2475,thing,Legendary Inventors,2,5,40,40,30,2016,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Legends of Hellas,353921,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90805596,5.46988,5.13797,1.2,25156,117,thing,Legends of Hellas,1,5,20,20,10,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Letter Tycoon,169147,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78363780,6.03545,6.76827,1.9667,2686,2174,thing,Letter Tycoon,2,5,30,30,30,2015,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Lewis & Clark: The Expedition,140620,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71307133,7.20132,7.44982,3.329,283,19011,thing,Lewis & Clark: The Expedition,1,5,120,120,120,2013,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Libertalia,125618,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307218,6.89645,7.11896,2.2367,575,14843,thing,Libertalia,2,6,60,60,40,2012,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Lielow,349408,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100750617,5.53286,6.3914,0,14256,15,thing,Lielow,2,2,30,0,30,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
Lifeline,358196,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95207010,5.49602,5.49005,1.25,22652,13,thing,Lifeline,2,2,90,90,30,2022,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Lines of Action,3406,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308314,5.8285,7.1305,2.72,4076,433,thing,Lines of Action,2,2,20,20,20,1969,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Linkage,41149,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84589869,5.54459,6.36169,2.1111,12442,57,thing,Linkage,2,2,10,10,10,2009,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Little Factory,306300,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90174925,5.76119,6.43669,1.9048,4782,1397,thing,Little Factory,1,4,40,40,20,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Living Forest,328479,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89111679,6.77686,7.27485,2.1865,725,9760,thing,Living Forest,1,4,40,40,40,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Loco Momo,317299,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88657279,5.76164,6.4107,1.1538,4775,743,thing,Loco Momo,1,4,30,30,20,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Logger,36985,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307898,5.50225,5.57,1.8889,21390,35,thing,Logger,2,4,30,30,30,2008,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Look at the Stars,365453,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98675631,5.56644,6.11599,1.4,10372,204,thing,Look at the Stars,2,8,30,30,20,2022,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Lords of Xidit,156566,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307223,6.67773,7.08807,2.6471,896,9383,thing,Lords of Xidit,3,5,90,90,90,2014,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Lost Cities,50,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306997,7.13413,7.23753,1.4785,331,67218,thing,Lost Cities,2,2,30,30,30,1999,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Lost Explorers,311918,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,84423795,5.50221,5.59821,1.75,21414,692,thing,Lost Explorers,2,4,40,40,40,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Lost Ruins of Arnak,312484,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696180,7.89915,8.07793,2.9147,28,65382,thing,Lost Ruins of Arnak,1,4,120,120,30,2020,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Lost Seas,353543,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100342219,5.76646,6.75412,1.7059,4705,486,thing,Lost Seas,2,4,30,30,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Love Letter (Premium Version),196326,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71306957,6.901,7.44357,1.3178,571,10503,thing,Love Letter: Premium Edition,2,8,30,30,20,2016,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Lucky Numbers,118247,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74121253,6.01053,6.35962,1.1023,2814,3278,thing,Lucky Numbers,1,4,20,20,20,2012,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Lumen: The Lost World,377947,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103002403,5.49882,5.52124,2.25,22110,85,thing,Lumen: The Lost World,2,2,45,0,45,2023,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Luxor,245643,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77024914,6.64102,7.19368,1.9051,947,6116,thing,Luxor,2,4,45,45,45,2018,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Machiavelli,152359,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307161,5.50148,5.59174,1.625,21585,69,thing,Machiavelli,2,6,20,20,20,1940,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Madeira,95527,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307238,6.88631,7.54328,4.3109,593,5481,thing,Madeira,2,4,150,150,60,2013,,,14+,No necessary in-game text,,,,,,standalone,,,,,
Magic Maze,209778,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472002,6.80105,6.95841,1.7562,691,33654,thing,Magic Maze,1,8,15,15,15,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Mammalath,281429,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307924,5.50128,5.56342,1,21630,14,thing,Mammalath,2,2,0,0,0,2019,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Manhattan,199,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472373,6.39216,6.73272,1.9238,1446,8126,thing,Manhattan,2,4,45,45,45,1994,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Mantis Falls,291847,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472667,6.13908,7.24264,2.6977,2251,4227,thing,Mantis Falls,2,3,90,90,60,2021,,,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Mapmaker: The Gerrymandering Game,252997,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76934133,5.77356,6.68803,1.6087,4622,603,thing,Mapmaker: The Gerrymandering Game,1,4,45,45,30,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Maps of Misterra,373190,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104223875,5.59557,6.45732,2.1818,8601,217,thing,Maps of Misterra,1,4,60,60,45,2023,,,8+,No necessary in-game text,,,,,,standalone,,,,,
La Marche du Crabe,316632,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96006251,5.67433,6.66999,1.6364,6159,721,thing,La Marche du Crabe,2,2,15,15,10,2020,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Marco Polo II: In the Service of the Khan,283948,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74509544,7.38816,7.96826,3.3855,171,9153,thing,Marco Polo II: In the Service of the Khan,2,4,120,120,60,2019,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Marco Polo II: The Caravans,322454,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696433,5.64877,7.29271,0,0,777,thing,Marco Polo II: The Caravans,2,4,120,120,60,2020,,,,No necessary in-game text,,,,,,expansion,,,,,
Marrakech,29223,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,75922057,6.32927,6.69623,1.3429,1603,6321,thing,Marrakech,2,4,30,30,30,2007,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Marram,287002,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307893,5.43796,4.06696,1,25853,9,thing,Marram,2,4,60,60,25,2018,,,,,,,,,,standalone,,,,,
Martian Chess,19803,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472567,5.66255,6.5749,2.4194,6417,717,thing,Martian Chess,2,4,20,20,20,1995,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Martian Dice,99875,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77570451,5.89397,6.12603,1.067,3545,5393,thing,Martian Dice,2,99,10,10,10,2011,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Mascarade,139030,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,86919534,6.3575,6.57283,1.5259,1529,16911,thing,Mascarade,2,13,30,30,30,2013,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Mattock,320505,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696465,5.50171,5.69481,2.25,21536,13,thing,Mattock,2,2,40,40,5,2020,,,,No necessary in-game text,,,,,,standalone,,,,,
Mech A Dream,365647,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100750611,5.58819,6.60451,2,8984,151,thing,Mech A Dream,2,4,45,45,45,2023,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Medina (Second Edition),167270,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696843,6.37036,7.22074,2.3768,1503,2775,thing,Medina (Second Edition),2,4,60,60,60,2014,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Medo,353305,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93442864,0,5.44444,2,0,11,thing,Medo,2,2,40,40,15,2022,,,,,,,,,,standalone,,,,,
Megalomania Card Game,356231,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97278589,5.48671,5.17241,1.6667,23965,20,thing,Megalomania Card Game,2,4,45,45,30,2022,,,,,,,,,,standalone,,,,,
Memoir '44,10630,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93302891,7.34721,7.53668,2.275,191,40242,thing,Memoir '44,2,8,60,60,30,2004,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Mercado de Lisboa,262477,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472437,6.07622,6.56744,2.0814,2517,4462,thing,Mercado de Lisboa,1,4,45,45,30,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Meridians,333775,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97712483,5.5502,6.8182,0,11802,63,thing,Meridians,2,2,40,40,20,2021,,,,No necessary in-game text,,,,,,standalone,,,,,
Metro,559,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98675476,6.13233,6.37304,1.6858,2285,8156,thing,Metro,2,6,30,30,30,1997,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Metromania,23908,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307899,5.52967,5.77502,2.4483,14817,282,thing,Metromania,2,4,45,45,45,2006,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Micro Dojo,319592,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,98675553,5.70114,6.7218,2.0714,5667,1125,thing,Micro Dojo,1,2,30,30,10,2021,,,10,No necessary in-game text,,,,,,standalone,,,,,
Mijnlieff,72667,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698319,5.81752,7.0526,1.6923,4181,634,thing,Mijnlieff,2,2,10,10,10,2010,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Monster Factory,112598,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696459,5.58167,5.85294,1.15,9362,880,thing,Monster Factory,2,6,30,30,30,2012,,,5+,No necessary in-game text,,,,,,standalone,,,,,
Morocco,183150,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89111951,5.61298,6.39915,2.3636,7845,512,thing,Morocco,2,5,45,45,45,2016,,,12+,No necessary in-game text,,,,,,standalone,,,,,
The Mother Road: Route 66,344268,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,89111917,5.5256,5.88147,1.2857,15676,320,thing,The Mother Road: Route 66,2,4,40,40,20,2022,,,,,,,,,,standalone,,,,,
MOW,38984,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,95461006,5.76635,6.13223,1.0813,4709,2619,thing,MOW,2,10,15,15,15,2008,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Mr. Jack,21763,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,75255373,6.79224,6.97515,2.1719,706,23660,thing,Mr. Jack,2,2,30,30,30,2006,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Mü & More,152,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87138257,6.29968,7.15236,2.5591,1677,3174,thing,Mü & More,2,8,60,60,60,1995,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Murus Gallicus,55131,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696774,5.59457,6.956,2.9167,8651,102,thing,Murus Gallicus,2,2,20,20,20,2009,,,10+,No necessary in-game text,,,,,,standalone,,,,,
My City,295486,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97833180,7.27525,7.64489,1.9825,237,20655,thing,My City,2,4,30,30,30,2020,,,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
My First Castle Panic,267314,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472081,5.77441,6.4277,1.12,4617,2204,thing,My First Castle Panic,1,4,20,20,20,2019,,,3–8,No necessary in-game text,,,,,,standalone,,,,,
My Shelfie,366456,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,97334627,6.02096,6.57075,1.4151,2772,2601,thing,My Shelfie,2,4,30,30,30,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Nanga Parbat,300305,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,77401643,5.91211,6.79028,1.8077,3437,1398,thing,Nanga Parbat,2,2,30,30,30,2021,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Narabi,257836,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,90805544,5.58781,6.01017,1.2857,9004,1125,thing,Narabi,3,5,15,15,15,2018,,,,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Nautilus,131616,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307907,5.56491,6.09478,1.6,10506,298,thing,Nautilus,2,2,25,25,25,2012,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Neutreeko,3319,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71308058,5.48122,5.29526,1.75,24516,54,thing,Neutreeko,2,2,10,10,10,2001,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Neutron,6978,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,73330469,5.54779,6.10884,2.1,12047,128,thing,Neutron,2,2,15,15,10,1978,,,6+,No necessary in-game text,,,,,,standalone,,,,,
New Frontiers,255692,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,85018394,6.72998,7.42374,2.9515,807,4697,thing,New Frontiers,2,5,75,75,45,2018,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Next Station: London,353545,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,93525195,6.82119,7.47338,1.4865,676,7610,thing,Next Station: London,1,4,30,30,25,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Niagara,13308,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307350,6.24598,6.45702,1.8378,1847,10874,thing,Niagara,3,5,45,45,30,2004,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Nicodemus,334644,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,85900963,5.63486,6.35709,2.4444,7113,520,thing,Nicodemus,2,2,60,60,45,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Nidavellir,293014,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81524222,7.291,7.59841,2.1065,226,17537,thing,Nidavellir,2,5,45,45,45,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Nidavellir: Thingvellir,326984,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698792,6.30252,7.82932,2.5789,0,5217,thing,Nidavellir: Thingvellir,2,5,45,45,45,2020,,,10+,No necessary in-game text,,,,,,expansion,,,,,
Nile,40213,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307861,5.57854,5.99785,1.5517,9539,433,thing,Nile,2,5,30,30,30,2009,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Nine Men's Morris,3886,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307822,5.41866,5.37455,1.8102,25969,2128,thing,Nine Men's Morris,2,2,20,20,20,-1400,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Ninety-Nine,6688,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,76838932,5.84793,7.18418,2.1111,3918,272,thing,Ninety-Nine,2,4,60,60,60,1974,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Ninety-Nine,101420,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101696482,5.42916,4.58049,1.3333,25912,63,thing,Ninety-Nine,2,13,20,20,20,0,,,6+,No necessary in-game text,,,,,,standalone,,,,,
Nippon,154809,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307164,7.00081,7.63872,3.777,458,4821,thing,Nippon,2,4,120,120,60,2015,,,14+,No necessary in-game text,,,,,,standalone,,,,,
No Thanks!,12942,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,80843929,6.95323,7.07729,1.1322,509,39128,thing,No Thanks!,3,7,20,20,20,2004,,,8+,No necessary in-game text,,217517,,,,standalone,,,,,
Noah,116858,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,94518924,5.82295,6.33439,1.3429,4133,2073,thing,Noah,2,5,30,30,30,2012,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Noir: Killer versus Inspector,102148,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307858,5.89513,6.45803,1.6,3537,3205,thing,NOIR: Deductive Mystery Game,2,9,60,60,15,2012,,,10+,No necessary in-game text,,,,,,standalone,,,,,
None Shall Pass!,369434,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99466215,5.51527,5.91513,1.6667,18163,14,thing,None Shall Pass!,2,4,60,60,40,2022,,,,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
North American Railways,191438,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96445471,5.73245,6.60921,2.4118,5166,918,thing,North American Railways,3,5,90,90,45,2016,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Not Alone,194879,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307107,6.68673,6.97056,1.9819,880,16421,thing,Not Alone,2,7,45,45,30,2016,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Nova Luna,284435,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,96199041,6.89381,7.28439,1.8729,583,12242,thing,Nova Luna,1,4,60,60,30,2019,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Number Drop,337784,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86424498,5.60456,6.11703,1.4286,8174,651,thing,Number Drop,1,6,20,20,20,2021,,,10+,No necessary in-game text,,,,,,standalone,,,,,
NXS,182274,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307878,5.53156,6.88092,2,14483,42,thing,NXS,2,3,60,60,15,2015,,,,,,,,,,standalone,,,,,
